id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax
25,NZF1,4992,0,0,first_order,1.7622968169823736e6,4.846999883651733,375,1.5974724872213262,0.0,376,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8730930648396082
32,arglina,5000,0,0,max_time,24571.55772697803,130.61099982261658,2,279.79676715059213,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
33,arglinb,5000,0,0,max_time,4.886881063672335e25,140.8329999446869,2,1.6480764043532468e24,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
34,arglinc,5000,0,0,max_time,4.880424195209156e25,135.83700013160706,2,1.6459993503585292e24,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9
35,arwhead,5000,0,0,max_time,0.73776192835793,120.7960000038147,159,24.852521617923486,0.0,160,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8166657647506256
36,bdqrtic,5000,0,0,max_time,24488.265839827596,120.77999997138977,142,8613.356411691295,0.0,143,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7986850540543947
41,broydn7d,5000,0,0,max_time,3127.554278579325,120.00999999046326,1305,54.057482828328546,0.0,1306,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8841336573583519
42,brybnd,5000,0,0,first_order,15.29950456913475,114.0,112,1.9048838795915966,0.0,113,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5459408868465513
45,chainwoo,5000,0,0,first_order,13.686787951959738,4.368000030517578,244,34.109281793936816,0.0,245,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8144389504673832
46,chnrosnb,5000,0,0,first_order,73.08771585297859,12.056999921798706,383,4.315764253852934,0.0,384,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.870789392200019
49,clplatea,4900,0,0,max_time,-0.010458712112893198,120.07000017166138,1787,0.006702448875919947,0.0,1788,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.853582180298092
50,clplateb,4900,0,0,max_time,-0.004782832792137794,120.02300000190735,1947,0.003936952464395539,0.0,1948,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8511324415288951
51,clplatec,4900,0,0,max_time,-8.801553613295978e-5,120.09800004959106,1292,0.09152010140063689,0.0,1293,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8649299273431599
53,cosine,5000,0,0,max_time,-4992.111453530648,120.03900003433228,4306,9.306464824827463,0.0,4307,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8624940184948916
54,cragglvy,5000,0,0,first_order,1710.6156164055467,6.865000009536743,122,26.00593452895074,0.0,123,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6391920609332017
55,curly,5000,0,0,max_time,-499828.4661987876,120.0699999332428,1873,95.73204246966232,0.0,1874,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8599944874841919
56,curly10,5000,0,0,max_time,-495048.0867848751,120.42400002479553,58,8724.406163514504,0.0,59,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8993045877924284
57,curly20,5000,0,0,max_time,-494128.3613759851,121.40699982643127,55,10719.742653970216,0.0,56,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8993587705655082
58,curly30,5000,0,0,max_time,-494652.19774289057,121.92000007629395,54,18027.63090517434,0.0,55,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8978692444547243
59,dixmaane,4998,0,0,max_time,1.4906165932256494,120.52400016784668,165,0.5492030532942556,0.0,166,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6817127426623225
60,dixmaanf,4998,0,0,max_time,1.4243226850369561,120.45600008964539,140,0.9885003115642388,0.0,141,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7545038264620211
61,dixmaang,4998,0,0,max_time,1.5475474266188964,120.90100002288818,182,2.116166229084748,0.0,183,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6674541099676541
62,dixmaanh,4998,0,0,max_time,11.456872919971696,120.41799998283386,181,19.93343362122571,0.0,182,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5963785132362596
63,dixmaani,4998,0,0,max_time,2.7476003088561374,120.21599984169006,147,1.429467267146579,0.0,148,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7611576913915856
64,dixmaanj,4998,0,0,max_time,1.8857966087798144,120.88699984550476,144,0.6656593462246739,0.0,145,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.601561164772362
65,dixmaank,4998,0,0,first_order,1.8190668536345236,114.58399987220764,135,0.4634400303503232,0.0,136,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5111890847111363
66,dixmaanl,4998,0,0,first_order,4.213797830550164,92.32999992370605,107,0.9418390738847476,0.0,108,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2465048304719251
67,dixmaanm,4998,0,0,max_time,78.69939774253025,121.89900016784668,80,7.412247793450428,0.0,81,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6733663119959267
68,dixmaann,4998,0,0,max_time,285.8437429629879,120.99900007247925,77,162.87863279074506,0.0,78,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5522387166105607
69,dixmaano,4998,0,0,max_time,262.77766781268,121.47300004959106,69,17.269733076131516,0.0,70,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6040473057284463
70,dixmaanp,4998,0,0,max_time,291.27348245184356,121.52799987792969,75,37.448452487255935,0.0,76,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5669952184839331
71,dixon3dq,5000,0,0,first_order,0.010276504916336977,44.64999985694885,10237,0.0006554731685283119,0.0,10238,6824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8466831931760751
72,dqdrtic,5000,0,0,first_order,0.08991324117010802,3.0160000324249268,205,8.496977153272201,0.0,206,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8358634879523248
73,dqrtic,5000,0,0,first_order,2.4884164949054337e11,3.736999988555908,134,2.8358219651050156e8,0.0,135,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5250855566669823
74,edensch,5000,0,0,first_order,30003.28551717319,7.786999940872192,153,0.21168122995183192,0.0,154,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7894256438676394
75,eg2,5000,0,0,first_order,-4998.947385644318,1.4210000038146973,68,0.2613795984524909,0.0,69,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.39376902279144793
77,engval1,5000,0,0,first_order,5548.688806922241,2.7269999980926514,155,0.7790570477938107,0.0,156,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7363900082706195
78,errinros,5000,0,0,first_order,4067.842146383413,5.628999948501587,104,113.56759401314157,0.0,105,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8357369561684792
79,extrosnb,5000,0,0,first_order,0.03329680445206346,3.138000011444092,307,8.121187333687796,0.0,308,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8293286087359831
80,fletcbv2,5000,0,0,first_order,-0.500268169770559,0.0,0,4.410797059170065e-6,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NaN
81,fletcbv3,5000,0,0,first_order,-248296.3743680272,25.674000024795532,325,0.002835587305136989,0.0,326,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8935863877155636
82,fletchcr,5000,0,0,first_order,0.0026445304772214776,92.85999989509583,6423,0.02770996292338147,0.0,6424,5890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8925932865545937
83,fminsrf2,4900,0,0,first_order,100.00317973435874,43.35600018501282,1219,0.003061422296972747,0.0,1220,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8714693963873306
84,freuroth,5000,0,0,first_order,608106.9410516822,24.61400008201599,519,3.3034091585056933,0.0,520,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7776488914330726
86,genhumps,5000,0,0,max_time,140899.98070446058,120.02699995040894,1126,401.28135293597984,0.0,1127,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.882243084008432
87,genrose,5000,0,0,max_time,1941.5141157918779,120.00399994850159,9354,24.893886054081793,0.0,9355,6459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8780856853887918
88,genrose_nash,5000,0,0,max_time,1943.584730764554,120.00499987602234,9596,46.6499067972316,0.0,9597,6653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.875859472686385
196,indef,5000,0,0,max_time,-493097.9046901582,120.62700009346008,153,1109.213797587905,0.0,154,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8091959864771644
199,liarwhd,5000,0,0,first_order,492.73442979076697,49.253000020980835,3948,45.81777636981122,0.0,3949,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8348549689517166
204,morebv,5000,0,0,max_time,0.00014659757856014792,120.01300001144409,5571,0.002498242595679318,0.0,5572,3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8471285822895812
206,ncb20,5000,0,0,first_order,-1385.3159549864477,113.89400005340576,295,0.02682893381875257,0.0,296,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8764906352099253
207,ncb20b,5000,0,0,max_time,7351.300858456661,120.20699977874756,334,0.17176970785008605,0.0,335,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.855925841207142
208,noncvxu2,5000,0,0,max_time,6.805662319834365e8,121.51999998092651,51,113191.97278008694,0.0,52,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7828515326620918
209,noncvxun,5000,0,0,max_time,1.542910619492053e9,121.60800004005432,56,142450.74763385762,0.0,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7845885646512257
