id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax
25,NZF1,988,0,0,first_order,339895.9816711096,0.23600006103515625,358,0.8499312502511406,0.0,359,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8835828277499476
32,arglina,1000,0,0,first_order,1000.000040039266,11.689000129699707,36,0.012655321068857701,0.0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6581361190682423
33,arglinb,1000,0,0,first_order,6.025721920064607e12,15.388999938964844,46,4.633900336447934e15,0.0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7105768178151494
34,arglinc,1000,0,0,first_order,4.452579552287696e12,15.642000198364258,47,3.971411990402874e15,0.0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7114380387428927
35,arwhead,1000,0,0,first_order,0.001458257872323454,0.19300007820129395,3,0.19577604220155953,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.021936035932269338
36,bdqrtic,1000,0,0,first_order,3989.3105116612255,2.684999942779541,54,29.66230350584959,0.0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7996551951676426
41,broydn7d,1000,0,0,first_order,488.6425716607086,11.301000118255615,2716,0.014866373208071198,0.0,2717,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8862753270713021
42,brybnd,1000,0,0,first_order,0.0027984412567686177,4.445000171661377,74,0.7498196273765645,0.0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8013531220077238
45,chainwoo,1000,0,0,first_order,6.880832151795149,0.08800005912780762,89,20.49671768514467,0.0,90,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8249949108714753
46,chnrosnb,1000,0,0,first_order,0.5770930425856706,25.563999891281128,18609,1.870102115952905,0.0,18610,15710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8753451859406389
