id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgβmax
25,NZF1,91,0,0,first_order,20945.065636794392,0.006000041961669922,444,0.1769441891173543,0.0,445,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.856653071178968
32,arglina,100,0,0,first_order,100.00000269003017,0.1770000457763672,154,0.003280262253185208,0.0,155,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8269186003190455
33,arglinb,100,0,0,first_order,357472.63843553007,0.0840001106262207,116,1.1400238291196043e9,0.0,117,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6243904201230485
34,arglinc,100,0,0,first_order,559516.7245563745,0.11500000953674316,119,1.3840867135641453e9,0.0,120,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5907296619698312
35,arwhead,100,0,0,first_order,5.851150556068774e-6,0.16199994087219238,383,0.060369478499318445,0.0,384,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8231940179189076
36,bdqrtic,100,0,0,first_order,378.7708005893172,0.09299993515014648,179,1.5762033477225064,0.0,180,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7992901881996716
41,broydn7d,100,0,0,first_order,35.44397259168866,0.03699994087219238,574,0.0037194839897642515,0.0,575,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8711798925921844
42,brybnd,100,0,0,first_order,3.076554574682929,0.0840001106262207,160,0.20270402333379056,0.0,161,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8282954415714959
45,chainwoo,100,0,0,first_order,329.42939503334884,0.006000041961669922,399,6.504248181991004,0.0,400,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.86411874837324
46,chnrosnb,100,0,0,first_order,0.0052529378936696045,0.012000083923339844,433,0.37952549849447675,0.0,434,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8742893482097451
49,clplatea,100,0,0,first_order,-0.009145213777021804,0.006999969482421875,214,5.8321030094514885e-5,0.0,215,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8638718747057783
50,clplateb,100,0,0,first_order,-0.0062007742231658,0.009000062942504883,238,6.516730102149538e-5,0.0,239,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8669562782337811
51,clplatec,100,0,0,first_order,-0.005114045643846833,0.19700002670288086,5127,5.233764446399722e-5,0.0,5128,5086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8574384486824865
53,cosine,100,0,0,first_order,-98.99999998961991,0.007999897003173828,326,0.0007884758316273819,0.0,327,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8688234147845549
54,cragglvy,100,0,0,first_order,33.25528244412346,0.006000041961669922,134,3.159652296664887,0.0,135,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6596069963391221
55,curly,100,0,0,first_order,-10031.629024129805,0.40799999237060547,9064,0.0010237760705230096,0.0,9065,9023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8570342804933615
56,curly10,100,0,0,first_order,-10031.629024129805,9.967999935150146,9064,0.0010237760705230096,0.0,9065,9023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8570342804933615
57,curly20,100,0,0,first_order,-10020.87728092797,11.483000040054321,10508,0.0016336243417205214,0.0,10509,10446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8571146977556064
58,curly30,100,0,0,first_order,-10031.629024102233,13.956000089645386,12360,0.004173378091675463,0.0,12361,12306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8566081534912903
59,dixmaane,99,0,0,first_order,1.0000055417415472,0.10800004005432129,271,0.0030611765332706764,0.0,272,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.843554614826601
60,dixmaanf,99,0,0,first_order,1.0004357648140694,0.06500005722045898,107,0.024466591811606802,0.0,108,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8034707493297292
61,dixmaang,99,0,0,first_order,1.001373216400743,0.05500006675720215,147,0.06198333670709982,0.0,148,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7890717680681718
62,dixmaanh,99,0,0,first_order,1.001174685473687,0.07300019264221191,189,0.06521558709276172,0.0,190,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7951876576106854
