id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgsatβ
25,NZF1,988,0,0,first_order,339895.88464639965,0.7039999961853027,1347,0.010126760929396919,0.0,1348,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8972899905701535
32,arglina,1000,0,0,first_order,1000.0000000035435,14.950000047683716,55,0.00011869879208655297,0.0,56,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.28159268770351364
33,arglinb,1000,0,0,first_order,5.0104243544459593e8,21.651000022888184,71,4.2255104928900125e13,0.0,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1283697328867401
34,arglinc,1000,0,0,first_order,5.646672187384586e8,21.89299988746643,69,4.47234393102606e13,0.0,70,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.12843849067873464
35,arwhead,1000,0,0,first_order,3.065853970696253e-8,4.876999855041504,139,0.002547665243970241,0.0,140,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.430542776298246
36,bdqrtic,1000,0,0,first_order,3983.830800524764,22.615999937057495,625,0.297429886758894,0.0,626,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8947751892330619
41,broydn7d,1000,0,0,first_order,504.0470298382957,45.23400020599365,12065,0.00015622488342755512,0.0,12066,9896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.891078631019959
42,brybnd,1000,0,0,first_order,3.0211285531235947e-7,11.542999982833862,214,0.008593863169706575,0.0,215,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8100038525646062
45,chainwoo,1000,0,0,first_order,1.0046250992935755,0.18799996376037598,199,0.20054072004773066,0.0,200,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7798447107331913
46,chnrosnb,1000,0,0,first_order,0.0003162562208082342,26.30399990081787,21266,0.019712750620073403,0.0,21267,15991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8963928958153767
49,clplatea,961,0,0,first_order,-0.011492405874533367,9.449000120162964,4046,1.0705963469521432e-6,0.0,4047,3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8959538208295184
50,clplateb,961,0,0,first_order,-0.005295073608058941,5.615999937057495,2490,9.558331095723088e-7,0.0,2491,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.895051233188161
51,clplatec,961,0,0,max_time,-0.0027217197619026088,60.00099992752075,26333,0.010221224820600183,0.0,26334,21938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8951688566159524
53,cosine,1000,0,0,first_order,-998.9999999999941,0.10600018501281738,72,2.202587798884815e-5,0.0,73,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.503381109624546
54,cragglvy,1000,0,0,first_order,336.42614033448154,0.565000057220459,188,0.1045095042262619,0.0,189,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8896728109048929
55,curly,1000,0,0,max_time,-100314.51890041339,60.00399994850159,20773,0.4064043886284062,0.0,20774,16033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8984050607400504
56,curly10,1000,0,0,max_time,-100301.11505762483,60.001999855041504,816,7.167434532774075,0.0,817,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8965581248555621
57,curly20,1000,0,0,max_time,-100277.68739689978,60.026999950408936,767,28.655326658912436,0.0,768,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8937519214068478
58,curly30,1000,0,0,max_time,-100260.7106828529,60.01600003242493,756,95.92646267311261,0.0,757,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8969118828090064
59,dixmaane,999,0,0,first_order,1.0000339531476539,10.628000020980835,265,0.0006133645643390722,0.0,266,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9000000000000039
60,dixmaanf,999,0,0,first_order,1.0001157601019741,9.768999814987183,253,0.0010665714933593075,0.0,254,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8772491001941486
61,dixmaang,999,0,0,first_order,1.0003854189842392,9.420000076293945,241,0.0019152195175054388,0.0,242,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.897547480426619
62,dixmaanh,999,0,0,first_order,1.0011129768379483,8.183000087738037,210,0.004218310094689337,0.0,211,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8441703944308333
63,dixmaani,999,0,0,first_order,1.0005975874034156,22.578999996185303,578,0.0005628200669640141,0.0,579,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8894573678464218
