id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgsatβ
25,NZF1,1989,0,0,first_order,695496.0573084181,2.50600004196167,1271,0.014323250269951347,0.0,1272,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8961651430370253
32,arglina,2000,0,0,first_order,2000.0000000068492,110.42700004577637,54,0.00016579303062115683,0.0,55,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2875451464936253
33,arglinb,2000,0,0,max_time,7.715544480871013e12,120.31599998474121,51,4.192482508211994e16,0.0,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.23229802549464773
34,arglinc,2000,0,0,max_time,1.4917252102441778e15,121.85699987411499,49,5.820776202364468e17,0.0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.23771505432727896
35,arwhead,2000,0,0,first_order,8.951798470935302e-6,27.18400001525879,231,0.014850410295762435,0.0,232,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4974157120671693
36,bdqrtic,2000,0,0,first_order,7989.458458980466,106.05999994277954,777,0.5534020223794777,0.0,778,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8762674008139067
41,broydn7d,2000,0,0,max_time,633.4321421063673,120.00499987602234,8210,0.010389138246445601,0.0,8211,6761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8903839738770561
42,brybnd,2000,0,0,first_order,4.4384233111445577e-7,21.703999996185303,98,0.012002343107156185,0.0,99,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.19242782060087843
45,chainwoo,2000,0,0,first_order,1.013109287266601,0.7460000514984131,196,0.26402093403561494,0.0,197,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7960275319865503
46,chnrosnb,2000,0,0,max_time,700.9138292239069,120.00399994850159,25172,11.396497365559911,0.0,25173,18968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.896356027595169
49,clplatea,1936,0,0,first_order,-0.012014318870258747,110.17700004577637,12334,1.0933118169994138e-6,0.0,12335,9338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8977857146902187
50,clplateb,1936,0,0,first_order,-0.005187857764639657,42.08099985122681,4637,9.924556772565496e-7,0.0,4638,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8949417449532887
51,clplatec,1936,0,0,max_time,-0.0009225545150872499,120.00699996948242,12864,0.012948759744234905,0.0,12865,10678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8949120567789335
53,cosine,2000,0,0,first_order,-1998.9999999999943,0.3360002040863037,66,2.9510359894550678e-5,0.0,67,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.45949505071945335
54,cragglvy,2000,0,0,first_order,674.3780899696378,2.1480000019073486,189,0.17872037511792105,0.0,190,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.882813464690411
55,curly,2000,0,0,max_time,-200628.62717868292,120.00999999046326,11039,0.6711156573858991,0.0,11040,8393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.898067581263453
56,curly10,2000,0,0,max_time,-200610.4562119803,120.23499989509583,411,5.658262198917014,0.0,412,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8860763135606878
57,curly20,2000,0,0,max_time,-200577.09418198047,120.34500002861023,392,21.99081552128311,0.0,393,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.896348540972132
58,curly30,2000,0,0,max_time,-200531.9082134757,120.3069999217987,388,56.099605495415766,0.0,389,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8947660119845615
59,dixmaane,1998,0,0,first_order,1.000149179107579,40.860000133514404,273,0.0008405315740436019,0.0,274,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8933870478409494
60,dixmaanf,1998,0,0,first_order,1.0004633227509512,36.48300004005432,246,0.0014797018612238034,0.0,247,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.896874588108939
61,dixmaang,1998,0,0,first_order,1.0006535349695993,33.698999881744385,225,0.002941700484299382,0.0,226,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8734128059561008
62,dixmaanh,1998,0,0,first_order,1.0008751812033725,31.884999990463257,210,0.005804714444479248,0.0,211,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8986870968056958
63,dixmaani,1998,0,0,first_order,1.0012498063088011,87.49399995803833,608,0.0007970643001348858,0.0,609,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.893443445852441
64,dixmaanj,1998,0,0,first_order,1.0001426642761735,38.257000207901,238,0.0014779677285914907,0.0,239,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8721617229586822
65,dixmaank,1998,0,0,first_order,1.0003185876825231,35.66199994087219,224,0.0029051836736327104,0.0,225,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.872305196634207
66,dixmaanl,1998,0,0,first_order,1.0007549229537929,33.62599992752075,211,0.005883901897261825,0.0,212,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8851803357377049
67,dixmaanm,1998,0,0,max_time,1.0056352076892265,120.22800016403198,372,0.004338996066939696,0.0,373,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8982332978072236
68,dixmaann,1998,0,0,first_order,1.000236699840824,101.6690001487732,307,0.0008072227044983141,0.0,308,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.899698127110564
69,dixmaano,1998,0,0,first_order,1.000413746237247,87.80900001525879,260,0.0014968147154196165,0.0,261,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9000000000000038
70,dixmaanp,1998,0,0,first_order,1.0009682073205977,83.10099983215332,246,0.003143519047060346,0.0,247,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9000000000000037
71,dixon3dq,2000,0,0,max_time,0.002471707108435959,120.00099992752075,141033,0.00016655076126164715,0.0,141034,114530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8948558673394096
72,dqdrtic,2000,0,0,first_order,1.4476661139684037e-5,0.2850000858306885,123,0.037381958663786796,0.0,124,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.37044038501238424
73,dqrtic,2000,0,0,first_order,5.857624192748872e7,1.0850000381469727,172,538042.6701020644,0.0,173,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9000000000000029
