id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_cons_lin,neval_cons_nln,neval_jcon,neval_jgrad,neval_jac,neval_jac_lin,neval_jac_nln,neval_jprod,neval_jprod_lin,neval_jprod_nln,neval_jtprod,neval_jtprod_lin,neval_jtprod_nln,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,avgsatβ
25,NZF1,91,0,0,first_order,20945.065625911317,0.006999969482421875,576,0.002044180583282016,0.0,577,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8685517942573162
32,arglina,100,0,0,first_order,100.00000000000003,0.00800013542175293,10,2.7375497437671565e-15,0.0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8000000000000002
33,arglinb,100,0,0,first_order,51.69085444414107,0.04499983787536621,38,2.740149218693926e6,0.0,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6194945105584498
34,arglinc,100,0,0,first_order,62.898923303212875,0.014999866485595703,32,6.349211375207563e6,0.0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6192001845747649
35,arwhead,100,0,0,first_order,1.107298253089084e-9,0.031999826431274414,61,0.0006078894501623635,0.0,62,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.160302842585064
36,bdqrtic,100,0,0,first_order,378.76919638906315,0.10100007057189941,210,0.028868814276559504,0.0,211,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8336221937975133
41,broydn7d,100,0,0,first_order,35.47474843351188,0.06599998474121094,966,1.0329971420379846e-5,0.0,967,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8667006960068714
42,brybnd,100,0,0,first_order,8.271675104440911e-9,0.051000118255615234,89,0.0014953856842858544,0.0,90,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.1437266158389179
45,chainwoo,100,0,0,first_order,1.0011134474558254,0.004999876022338867,261,0.06439520455852983,0.0,262,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8899976545886394
46,chnrosnb,100,0,0,first_order,2.136116558265776e-7,0.04199981689453125,1106,0.0004609457163365533,0.0,1107,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.864511217819552
49,clplatea,100,0,0,first_order,-0.009145214190273969,0.007999897003173828,203,1.048246996000467e-6,0.0,204,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8491792225495477
50,clplateb,100,0,0,first_order,-0.006200774536178216,0.004999876022338867,168,9.52105256773972e-7,0.0,169,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8386161827564319
51,clplatec,100,0,0,first_order,-0.005114050948085331,0.29199981689453125,7489,1.035843137961622e-6,0.0,7490,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8576925352793037
53,cosine,100,0,0,first_order,-98.99999999999832,0.0009999275207519531,52,8.089651350125269e-6,0.0,53,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8159449734451607
54,cragglvy,100,0,0,first_order,32.27014830136052,0.009000062942504883,165,0.03609753919046125,0.0,166,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7825896014454352
55,curly,100,0,0,max_time,-10031.628957090816,60.00100016593933,18589621,0.008841703559804879,0.0,18589622,4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8577365313716703
56,curly10,100,0,0,max_time,-10031.628957090816,60.00099992752075,716634,0.008841703559804879,0.0,716635,4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8577365313716703
57,curly20,100,0,0,max_time,-10031.62894865595,60.00099992752075,686007,0.017059203740588936,0.0,686008,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8576223721208135
58,curly30,100,0,0,max_time,-10031.629022594136,60.00099992752075,617593,0.0029266599489455826,0.0,617594,9736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8588875921754118
59,dixmaane,99,0,0,first_order,1.0000003457106503,0.08500003814697266,189,0.00018656347817709034,0.0,190,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8632071349808358
60,dixmaanf,99,0,0,first_order,1.000001244850157,0.06699991226196289,145,0.00032456165062496386,0.0,146,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5934338268225894
61,dixmaang,99,0,0,first_order,1.0000021170745153,0.06500005722045898,169,0.0006085735938638338,0.0,170,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7299590796889752
62,dixmaanh,99,0,0,first_order,1.000021982655121,0.0690000057220459,164,0.0012299135566312886,0.0,165,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6783935961515573
63,dixmaani,99,0,0,first_order,1.0000002391423406,0.7170000076293945,1619,9.879225123248634e-6,0.0,1620,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8591778631914998
64,dixmaanj,99,0,0,first_order,1.0000036920089463,0.1269998550415039,287,0.00019450932329553289,0.0,288,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7234500329095599
