solver,dim,M,avg_Beta
fomo_r2,100,1,0.6345537252274908
fomo_r2,100,2,0.5912263521811717
fomo_r2,100,5,0.6354728408961335
fomo_r2,100,10,0.7753470769148769
fomo_r2,1000,1,0.6021928240453465
fomo_r2,1000,2,0.5864584252880527
fomo_r2,1000,5,0.6419658837951203
fomo_r2,1000,10,0.7424017854692556
fomo_r2,2000,1,0.6023411014232729
fomo_r2,2000,2,0.5933997247002296
fomo_r2,2000,5,0.6247294929637915
fomo_r2,2000,10,0.7288396171424093
fomo_r2,5000,1,0.6226393294656611
fomo_r2,5000,2,0.5978219269081351
fomo_r2,5000,5,0.6289541046650519
fomo_r2,5000,10,0.7427297710318945
fomo_tr,100,1,0.5740636062045884
fomo_tr,100,2,0.6008258801973981
fomo_tr,100,5,0.7915279787506766
fomo_tr,100,10,0.8174158893521163
fomo_tr,1000,1,0.5985995233648284
fomo_tr,1000,2,0.5957028030193441
fomo_tr,1000,5,0.7753300013828668
fomo_tr,1000,10,0.8118235672191636
fomo_tr,2000,1,0.6015046668720367
fomo_tr,2000,2,0.6143696641629964
fomo_tr,2000,5,0.7715005190518593
fomo_tr,2000,10,0.8063725992463291
fomo_tr,5000,1,0.6171648919574717
fomo_tr,5000,2,0.6208811634239567
fomo_tr,5000,5,0.7839015099270806
fomo_tr,5000,10,0.7956432725381037
