solver,dim,M,bin_1,bin_2,bin_3,bin_4,bin_5
fomo_r2,100,1,3,16,14,8,33
fomo_r2,100,2,6,23,5,7,33
fomo_r2,100,5,7,15,4,10,38
fomo_r2,100,10,1,4,4,20,45
fomo_r2,1000,1,5,17,12,8,30
fomo_r2,1000,2,8,21,2,7,34
fomo_r2,1000,5,5,12,8,15,32
fomo_r2,1000,10,2,5,5,17,43
fomo_r2,2000,1,6,16,11,8,31
fomo_r2,2000,2,8,21,2,6,35
fomo_r2,2000,5,6,16,7,12,31
fomo_r2,2000,10,5,2,6,17,42
fomo_r2,5000,1,4,15,13,10,30
fomo_r2,5000,2,5,22,6,6,33
fomo_r2,5000,5,7,16,6,6,37
fomo_r2,5000,10,2,4,8,16,42
fomo_tr,100,1,5,23,11,5,30
fomo_tr,100,2,5,15,17,7,30
fomo_tr,100,5,0,2,3,20,49
fomo_tr,100,10,0,1,1,16,56
fomo_tr,1000,1,3,18,17,7,27
fomo_tr,1000,2,8,14,11,10,29
fomo_tr,1000,5,0,1,8,21,42
fomo_tr,1000,10,0,0,1,23,48
fomo_tr,2000,1,2,17,19,7,27
fomo_tr,2000,2,6,14,11,10,31
fomo_tr,2000,5,1,2,6,20,43
fomo_tr,2000,10,0,1,1,19,51
fomo_tr,5000,1,2,16,22,3,29
fomo_tr,5000,2,5,17,10,7,33
fomo_tr,5000,5,0,1,6,23,42
fomo_tr,5000,10,0,1,2,22,47
